file_id,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,premise_one,premise_two,question_type,overall_premise,p1_outcome,p2_outcome,p1_sentence,p2_sentence,q1,q2,q3,q4,trial_number,q1_type,q2_type,q3_type,q4_type,response,question_order
data_2019-09-03-14-55-13_mfiv6k4jb5,17018.000000000004,Welcome to the experiment. Press any key to begin.,32,html-keyboard-response,0,17022,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,1161,"<p>In this task, you will read the outcomes of drug trials and then judge drug efficacies</p><p>Press any key to begin.</p>",32,html-keyboard-response,1,18184,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,2,19688,0.0-2.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>People who took Viathiazide were cured</p><p>People who took Viathiazide and Loratafloxacin were cured</p>,null,html-keyboard-response,3,24691,0.0-2.0-1.0,A+,AB+,experimental,A+AB+,TRUE,TRUE,People who took Viathiazide were cured,People who took Viathiazide and Loratafloxacin were cured,How well does the combination of Viathiazide and Loratafloxacin work?,How well does Loratafloxacin work?,null,How well does Viathiazide work?,1,3,2,4,1,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,3637,<p>How well does the combination of Viathiazide and Loratafloxacin work?</p>,NA,html-slider-response,4,28331,0.0-2.0-2.0,A+,AB+,experimental,A+AB+,TRUE,TRUE,People who took Viathiazide were cured,People who took Viathiazide and Loratafloxacin were cured,How well does the combination of Viathiazide and Loratafloxacin work?,How well does Loratafloxacin work?,null,How well does Viathiazide work?,1,3,2,4,1,97,q1
data_2019-09-03-14-55-13_mfiv6k4jb5,4624.999999999996,<p>How well does Loratafloxacin work?</p>,NA,html-slider-response,5,32958,0.0-2.0-3.0,A+,AB+,experimental,A+AB+,TRUE,TRUE,People who took Viathiazide were cured,People who took Viathiazide and Loratafloxacin were cured,How well does the combination of Viathiazide and Loratafloxacin work?,How well does Loratafloxacin work?,null,How well does Viathiazide work?,1,3,2,4,1,52,q2
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>null</p>,NA,html-slider-response,6,32962,0.0-2.0-4.0,A+,AB+,experimental,A+AB+,TRUE,TRUE,People who took Viathiazide were cured,People who took Viathiazide and Loratafloxacin were cured,How well does the combination of Viathiazide and Loratafloxacin work?,How well does Loratafloxacin work?,null,How well does Viathiazide work?,1,3,2,4,1,null,q3
data_2019-09-03-14-55-13_mfiv6k4jb5,3165,<p>How well does Viathiazide work?</p>,NA,html-slider-response,7,36128,0.0-2.0-5.0,A+,AB+,experimental,A+AB+,TRUE,TRUE,People who took Viathiazide were cured,People who took Viathiazide and Loratafloxacin were cured,How well does the combination of Viathiazide and Loratafloxacin work?,How well does Loratafloxacin work?,null,How well does Viathiazide work?,1,3,2,4,1,99,q4
data_2019-09-03-14-55-13_mfiv6k4jb5,null,+,null,html-keyboard-response,8,36629,0.0-2.0-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-55-13_mfiv6k4jb5,null,<p>People who took Clindadine and Lorataptyline were not cured</p><p>People who took Oxydol were not cured</p>,null,html-keyboard-response,9,41632,0.0-2.0-1.1,AB-,C-,control,C-AB-,FALSE,FALSE,People who took Clindadine and Lorataptyline were not cured,People who took Oxydol were not cured,null,How well does the combination of Clindadine and Lorataptyline work?,How well does Lorataptyline work?,How well does Clindadine work?,22,4,3,2,1,NA,NA
