file_id,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,premise_one,premise_two,question_type,overall_premise,p1_outcome,p2_outcome,p1_sentence,p2_sentence,q1,q2,q3,q4,trial_number,q1_type,q2_type,q3_type,q4_type,response,question_order
data_2019-09-03-14-15-06_lcptud45sh,1118,Welcome to the experiment. Press any key to begin.,32,html-keyboard-response,0,1122,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-15-06_lcptud45sh,497.0000000000002,"<p>In this task, you will read the outcomes of drug trials and then judge drug efficacies</p><p>Press any key to begin.</p>",32,html-keyboard-response,1,1620,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-15-06_lcptud45sh,null,+,null,html-keyboard-response,2,3122,0.0-2.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-15-06_lcptud45sh,null,<p>People who took Omebenzaprine were cured</p>,null,html-keyboard-response,3,3624,0.0-2.0-1.0,C+,null,control,C+,TRUE,null,People who took Omebenzaprine were cured,null,How well does Omebenzaprine work?,null,null,null,13,1,3,4,2,NA,NA
data_2019-09-03-14-15-06_lcptud45sh,2014,<p>How well does Omebenzaprine work?</p>,NA,html-slider-response,4,5640,0.0-2.0-2.0,C+,null,control,C+,TRUE,null,People who took Omebenzaprine were cured,null,How well does Omebenzaprine work?,null,null,null,13,1,3,4,2,72,q1
data_2019-09-03-14-15-06_lcptud45sh,null,<p>null</p>,NA,html-slider-response,5,5643,0.0-2.0-3.0,C+,null,control,C+,TRUE,null,People who took Omebenzaprine were cured,null,How well does Omebenzaprine work?,null,null,null,13,1,3,4,2,null,q2
data_2019-09-03-14-15-06_lcptud45sh,null,<p>null</p>,NA,html-slider-response,6,5654,0.0-2.0-4.0,C+,null,control,C+,TRUE,null,People who took Omebenzaprine were cured,null,How well does Omebenzaprine work?,null,null,null,13,1,3,4,2,null,q3
data_2019-09-03-14-15-06_lcptud45sh,null,<p>null</p>,NA,html-slider-response,7,5659,0.0-2.0-5.0,C+,null,control,C+,TRUE,null,People who took Omebenzaprine were cured,null,How well does Omebenzaprine work?,null,null,null,13,1,3,4,2,null,q4
data_2019-09-03-14-15-06_lcptud45sh,null,+,null,html-keyboard-response,8,6159,0.0-2.0-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-14-15-06_lcptud45sh,null,<p>People who took Ciprogra and Alpraprolol were cured</p>,null,html-keyboard-response,9,6661,0.0-2.0-1.1,AB+,null,control,AB+,TRUE,null,People who took Ciprogra and Alpraprolol were cured,null,How well does the combination of Ciprogra and Alpraprolol work?,How well does Ciprogra work?,null,How well does Alpraprolol work?,11,3,1,4,2,NA,NA
